zip_code,item_description,sum
50010.0,Member's Mark Spiced Rum,288
50022.0,Paramount Triple Sec,4
50111.0,Saints N Sinners Apple Pie,108
50131.0,Platinum 7x Vodka,48
50158.0,Hennessy VS,24
50158.0,Kahlua Coffee,3
50158.0,Kamora Coffee Liqueur,6
50263.0,Jagermeister w/2 Shot Glasses,84
50265.0,Kahlua Coffee,72
50266.0,Avion Silver w/Powell & Mahoney Margarita Mix,90
50314.0,Hennessy Vs Cognac,60
50314.0,Juarez Triple Sec,240
50314.0,Paul Masson Peach Grande Amber Brandy,24
50314.0,Remy Martin VSOP,24
50316.0,Hennessy VS,48
50317.0,Paul Masson Peach Grande Amber Brandy,24
50320.0,Di Amore Quattro Orange,120
50320.0,Glen Oaks Whiskey Buy the Barrel,66
50320.0,Tortilla Gold Dss,72
50327.0,Bacardi Gold Rum PET,102
50401.0,Ole Smoky Blackberry Moonshine Mini,48
50401.0,Ole Smoky Salty Caramel Whiskey,18
50461.0,Five O'clock Vodka,30
50501.0,Titos Vodka,108
50588.0,Phillips Root Beer Schnapps,4
50662.0,Ole Smoky Apple Pie Moonshine 70prf Mini,8
50701.0,Bacardi Gold,7
50701.0,Dekuyper Triple Sec,2
50702.0,HA Elijah Craig Cask Barrel Proof,18
50702.0,Tortilla Gold Dss,768
50703.0,Bacardi Gold,1
50703.0,Hennessy VS,24
50703.0,Pinnacle Peach w/ Punch Dispenser,180
50703.0,Seagrams Extra Smooth,24
50707.0,Jameson,60
50801.0,Bacardi Gold Rum,5
51106.0,Juarez Triple Sec,144
51106.0,Kahlua Coffee Liqueur,240
51106.0,Kapali Coffee Liqueur,84
51246.0,Arrow Spearmint Schnapps,5
51247.0,Dekuyper Triple Sec,6
51360.0,Tortilla Gold Dss,48
51401.0,Bacardi Gold Mini,12
51401.0,Basil Hayden Dark Rye,18
51401.0,Paramount Sloe Gin,4
51501.0,99 Peppermint Mini,2
51501.0,Bacardi Gold Mini,4
51501.0,Juarez Triple Sec,48
51501.0,Kahlua Coffee,7
51555.0,Paramount Gold Rum,2
52001.0,Kamora Coffee Liqueur,4
52003.0,Bacardi Gold Rum Mini,5
52136.0,Five O'clock Vodka,2
52172.0,Kahlua Coffee,1
52240.0,Juarez Triple Sec,60
52240.0,Templeton Rye,18
52241.0,Bacardi Gold,1
52241.0,Maestro Agavero Gold,48
52314.0,Juarez Gold Dss,1560
52338.0,Cedar Ridge Single Malt Single Barrel Select,90
52402.0,Montezuma Triple Sec,216
52402.0,Paramount Gold Rum,7
52411.0,Everclear Alcohol,36
52556.0,Juarez Triple Sec,6
52601.0,Five O'clock Vodka,48
52601.0,Hennessy VS,24
52627.0,Kapali Coffee Liqueur,36
52732.0,Paramount Gold Rum,24
52761.0,Dekuyper Peachtree,4
52803.0,Everclear Alcohol,3
52804.0,Martell VSSD,2
