store_number,sum
2178,0.00015906471255503984
2465,0.0006785563456531729
2512,0.011534967943724408
2515,0.01470189084502557
2522,0.005306947535101206
2538,0.013192899116064003
2544,0.0012336497316640359
2562,0.025539195080295018
2571,0.03253395966288733
2576,0.0005389256174862746
2587,0.0010504150217187024
2591,0.00037626806748132627
2593,0.012043517753679638
2601,0.00035569090754094125
2616,0.004609283826646247
2619,0.05507329878330194
2633,0.06735002434963927
2636,0.0011523209566615617
2641,0.00029101983344258827
2643,0.00011431755522436128
2647,0.007936904548434225
2665,0.024802336781477422
2670,0.008230863976154012
2843,0.0006859053313461676
3162,0.0007466569464082567
3385,0.011288042024439789
3447,0.10845535099245604
3494,0.08491116056161929
3524,0.0639185379633903
3549,0.0038743852573467816
3705,0.0006124154744162211
3772,0.003057178048285776
3869,0.0001102347853949198
3963,0.0005428450765225384
3993,0.0007716434977644386
4057,0.0067493084604462895
4136,0.0211650787958246
4152,0.00021655011175357577
4153,0.0220371584313933
4156,0.00171541657153813
4158,0.000531086699413747
4167,0.0008224331544426905
4291,0.0011635894013908201
4312,0.00284552726032753
4559,0.00529126969895615
4829,0.04214398328742667
4867,0.001113452987885279
4898,0.0033746542302231447
4962,0.00030865739910577544
4971,0.03747982703427273
5003,0.00029363280613343084
5063,0.0010347371855736471
5102,0.18978020653589392
5113,0.0033746542302231447
5146,0.022035198701875168
5166,0.0033746542302231447
5204,0.0013326160723296971
5244,0.0012267906783505742
5416,0.0018367564908691304
5446,0.0003429526656730838
9001,0.060629131967205895
